doi,rank,raw_name,raw_affiliation,matched_faculty_id,confidence_score,match_signals
10.1038/s41467-024-47121-x,1,Jie Liang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 29, ""employee_id"": ""gen_595ef3d5"", ""name_zh"": ""Jie Liang"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,3,Zixiao Li,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 102, ""employee_id"": ""gen_4749a1b3"", ""name_zh"": ""Xiaolan Li"", ""department"": ""Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7368421052631579, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,4,Yongchao Yao,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 7, ""employee_id"": ""gen_9b7a2c64"", ""name_zh"": ""Chao You"", ""department"": ""Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China"", ""name_score"": 0.7, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,5,Yongsong Luo,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 15, ""employee_id"": ""gen_c42895b3"", ""name_zh"": ""Gonggong Lu"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.782608695652174, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,6,Shengjun Sun,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 24, ""employee_id"": ""gen_1b6f6474"", ""name_zh"": ""Huan Sun"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,7,Dongdong Zheng,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 105, ""employee_id"": ""gen_306ec32d"", ""name_zh"": ""Xingdong Zhang"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7857142857142857, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,8,Qian Liu,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 19, ""employee_id"": ""gen_81794865"", ""name_zh"": ""Han Liu"", ""department"": ""Department of Computer Science and Technology, Sichuan University, Chengdu, China"", ""name_score"": 0.8, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,9,Xuping Sun,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 112, ""employee_id"": ""gen_4472aa37"", ""name_zh"": ""Xuping Sun"", ""department"": ""High Altitude Medical Center, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
10.1038/s41467-024-47121-x,10,Bo Tang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 132, ""employee_id"": ""gen_ae4e5b50"", ""name_zh"": ""Yubo Wang"", ""department"": ""Key Laboratory of Bio-Resource and Eco-Environment of Ministry of Education, College of Life Sciences, State Key Laboratory of Hydraulics and Mountain River Engineering, Sichuan University, Chengdu, China"", ""name_score"": 0.75, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliati"
10.1038/s41467-024-51130-1,2,Jie Liang,Unknown,,0,"{""relevance"": ""name_only_candidate"", ""decision"": ""NEEDS_REVIEW"", ""source"": null, ""evidence_score"": 0.4, ""evidence_sources"": [""crossref""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 29, ""employee_id"": ""gen_595ef3d5"", ""name_zh"": ""Jie Liang"", ""department"": ""National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 1.0, ""aff_score"": 0.0, ""aff_used"": """", ""reason"": ""affiliation_unknown""}}"
