id,employee_id,name_zh,department,departments,name_en_list
76,gen_cf72b13d,Ruoxi Liao,"Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
77,gen_55bd2f29,Ruoyue Huang,"Laboratory of Metabolomics and Drug-Induced Liver Injury, Department of Gastroenterology & Hepatology, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
78,gen_d842623c,Shengdong Wang,"College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu, People's Republic of China",,"""[]"""
79,gen_f0b43e28,Shuo Xu,"West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
80,gen_f0f1f714,Shuting Zhang,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
81,gen_c5b19593,Song Chen,"State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, Department of Orthodontics, West China Hospital of Stomatology, Sichuan University, Chengdu, China",,"""[]"""
82,gen_7a0609fb,Tao Ma,"Key Laboratory of Bio-Resource and Eco-Environment of Ministry of Education, College of Life Sciences, State Key Laboratory of Hydraulics and Mountain River Engineering, Sichuan University, Chengdu, China",,"""[]"""
83,gen_05100e3f,Teng‐Yun Chen,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
84,gen_8c908631,Tiejun Zhang,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
85,gen_943e96a7,Ting Xue,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
86,gen_8bab733d,Ting Zhang,"College of Biomass Science and Engineering, Department of Respiratory and Critical Care Medicine, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
87,gen_5dc3d127,Ting Zou,"West China School of Basic Medical Sciences and Forensic Medicine, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
88,gen_5c9cca6f,Tingting Song,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, Chengdu, China",,"""[]"""
89,gen_f804cb33,Wang Li,"Sports Medicine Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
90,gen_b4fcdd90,Wanlin Cai,Sichuan University,,"""[]"""
91,gen_35aa24ba,Weimin Li,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
92,gen_5e03590d,Weizhi Liu,"Sports Medicine Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
93,gen_b07124d4,Wenchen Pu,"Laboratory of Molecular Oncology, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
94,gen_c0807362,Wenjing Li,"Department of Neurology and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
95,gen_5c166ba1,Xi Chen,"Sports Medicine Center, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
96,gen_238d11a2,Xiang Li,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
97,gen_033c7fc1,Xiang Yang,"Department of Neurosurgery, West China Hospital, Sichuan University, Chengdu, China",,"""[]"""
98,gen_aa5ce669,Xianggen Liu,"College of Computer Science, Sichuan University, Chengdu, Sichuan, China",,"""[]"""
